t(s)+-0.01;Temperatura B (C) +- 0.1;Temperatura A (C) +- 0.1
20;42.6;42.5
40;42.3;42.4
60;42.1;41.7
80;41.9;41.4
100;41.7;41.1
120;41.5;40.9
140;41.3;40.6
160;41.0;40.3
180;40.8;40.1
200;40.6;39.8
220;40.4;39.5
240;40.1;39.3
260;39.9;39.0
280;39.7;38.8
300;39.5;38.5
320;39.3;38.3
340;39.1;38.2
360;38.9;38.5
380;38.7;39.2
400;38.5;40.3
420;38.4;41.5
440;38.3;42.9
460;38.2;44.4
480;38.2;45.9
500;38.2;47.6
520;38.3;49.0
540;38.5;50.4
560;38.6;51.6
580;38.8;52.4
600;39.1;52.8
620;39.3;52.8
640;39.6;52.5
660;39.8;52.2
680;40.0;51.6
700;40.2;51.1
720;40.4;50.5
740;40.5;50.0
760;40.6;49.4
780;40.7;48.8
800;40.7;48.3
820;40.8;47.7
840;40.8;47.1
860;40.7;46.7
880;40.7;46.7
900;40.7;47.2
920;40.6;48.0
940;40.6;49.0
960;40.6;50.1
980;40.6;51.2
1000;40.7;52.7
1020;40.8;53.9
1040;40.9;55.1
1060;41.1;56.2
1080;41.3;57.2
1100;41.5;57.7
1120;41.8;57.9
1140;42.1;57.7
1160;42.3;57.2
1180;42.5;56.6
1200;42.7;56.1
1220;42.9;55.4
1240;43.1;54.7
1260;43.2;54.0
1280;43.3;53.3
1300;43.3;52.6
1320;43.4;51.8
1340;43.4;51.2
1360;43.3;50.5
1380;43.3;50.1
1400;43.2;50.1
1420;43.2;50.4
1440;43.1;51.2
1460;43.1;52.1
1480;43.0;53.3
1500;43.0;54.4
1520;43.1;55.6
1540;43.2;56.6
1560;43.3;57.8
1580;43.4;59.0
1600;43.6;59.9
1620;43.8;60.3
1640;44.0;60.3
1660;44.3;60.0
1680;44.5;59.5
1700;44.8;58.8
1720;44.9;58.2
1740;45.1;57.4
1760;45.2;56.6
1780;45.3;55.8
1800;45.3;55.1
1820;45.4;54.3
1840;45.4;53.7
1860;45.3;53.1
1880;45.2;52.3
1900;45.2;51.8
1920;45.1;51.9
1940;45.0;52.3
1960;44.9;53.0
1980;44.8;54.0
2000;44.8;55.0
2020;44.8;56.0
2040;44.8;57.2
2060;44.8;58.3
2080;45.0;59.5
2100;45.1;60.5
2120;45.3;61.3
2140;45.5;61.5
2160;45.7;61.4
2180;45.9;61.1
2200;46.1;60.6
2220;46.3;59.9
2240;46.4;59.2
2260;46.5;58.4
2280;46.6;57.7
2300;46.7;56.8
2320;46.7;56.1
2340;46.7;55.4
2360;46.7;54.6
2380;46.6;53.9
2400;46.5;53.3
2420;46.4;52.9
2440;46.4;53.0
2460;46.2;53.4
2480;46.1;54.2
2500;46.0;55.1
2520;45.9;56.1
2540;45.9;57.1
2560;45.9;58.2
2580;45.9;59.4
2600;46.0;60.4
2620;46.2;61.5
2640;46.3;62.2
2660;46.5;62.4
2680;46.7;62.2
2700;46.9;61.8
2720;47.0;61.3
2740;47.2;60.7
2760;47.3;60.0
2780;47.5;59.1
2800;47.5;58.3
2820;47.6;57.5
2840;47.6;56.7
2860;47.6;55.9
2880;47.5;55.2
2900;47.4;54.4
2920;47.3;53.8
2940;47.2;53.4
2960;47.0;53.6
2980;46.9;54.1
3000;46.8;54.9
3020;46.6;55.7
3040;46.6;56.6
3060;46.5;57.8
3080;46.5;58.8
3100;46.5;59.9
3120;46.7;61.2
3140;46.8;61.9
3160;46.9;62.5
3180;47.0;62.6
3200;47.2;62.4
3220;47.4;61.9
3240;47.5;61.3
3260;47.6;60.6
3280;47.6;59.4
3300;47.8;59.1
3320;47.9;58.3
3340;47.9;57.4
3360;47.9;56.7
3380;47.8;55.9
3400;47.7;55.2
3420;47.6;54.4
3440;47.5;53.8
3460;47.4;53.5
3480;47.2;53.7
3500;47.1;54.2
3520;47.0;55.0
3540;46.8;55.8
3560;46.7;56.8
3580;46.7;58.0
3600;46.7;58.9
3620;46.7;60.2
3640;46.8;61.1
3660;46.9;62.0
3680;47.0;62.5
3700;47.2;62.6
3720;47.3;62.3
3740;47.5;61.8
3760;47.6;61.2
3780;47.8;60.5
3800;47.9;59.9
3820;47.9;59.1
3840;48.0;58.3
3860;48.0;57.4
3880;48.0;56.6
3900;47.9;56.0
3920;47.8;55.1
